,tool,sampID,repType,cpu,ram,utime
0,hisat2,ERR009308,g,1.1167,4.359488,1.049598
1,hisat2,ERR009308,rc,1.3111,4.359488,1.230937
2,hisat2,ERR009308,sh1,0.9677,4.359488,0.913906
3,hisat2,ERR009308,sh2,0.9211,4.359488,0.872478
4,hisat2,ERR009308,sh3,1.123,4.359488,1.042094
5,hisat2,ERR009308,both1,1.4059,4.359488,1.294722
6,hisat2,ERR009308,both2,1.3222,4.359488,1.244704
7,hisat2,ERR009308,both3,1.0634,4.359488,1.020286
8,hisat2,ERR009309,g,0.8847,4.359488,0.787948
9,hisat2,ERR009309,rc,1.1454,4.359488,1.003224
10,hisat2,ERR009309,sh1,0.7435,4.359488,0.709944
11,hisat2,ERR009309,sh2,0.8965,4.367648,0.817469
12,hisat2,ERR009309,sh3,0.6779,4.359488,0.611391
13,hisat2,ERR009309,both1,1.3248,4.359488,1.092008
14,hisat2,ERR009309,both2,0.6879,4.359488,0.638666
15,hisat2,ERR009309,both3,0.6734,4.359488,0.628035
16,hisat2,ERR009332,g,0.7887,4.359488,0.764211
17,hisat2,ERR009332,rc,0.5566,4.359488,0.547747
18,hisat2,ERR009332,sh1,0.6075,4.359488,0.582287
19,hisat2,ERR009332,sh2,0.5677,4.359488,0.551779
20,hisat2,ERR009332,sh3,0.7255,4.359488,0.652873
21,hisat2,ERR009332,both1,0.6276,4.359488,0.612304
22,hisat2,ERR009332,both2,0.6415,4.359488,0.62247
23,hisat2,ERR009332,both3,0.6323,4.359488,0.617504
24,hisat2,ERR009345,g,0.6412,4.359488,0.614395
25,hisat2,ERR009345,rc,1.3898,4.359488,1.334291
26,hisat2,ERR009345,sh1,0.9497,4.359488,0.898088
27,hisat2,ERR009345,sh2,0.9246,4.359488,0.88888
28,hisat2,ERR009345,sh3,0.948,4.359488,0.901892
29,hisat2,ERR009345,both1,1.1619,4.359488,1.093439
30,hisat2,ERR009345,both2,1.1054,4.359488,1.055008
31,hisat2,ERR009345,both3,1.1227,4.359488,1.079114
32,hisat2,ERR013101,g,0.4748,4.359488,0.444615
33,hisat2,ERR013101,rc,0.5629,4.359488,0.533767
34,hisat2,ERR013101,sh1,0.6677,4.359488,0.59964
35,hisat2,ERR013101,sh2,0.4749,4.359488,0.445085
36,hisat2,ERR013101,sh3,0.4362,4.359488,0.421992
